AIKI,AIkido Pharma Inc. Common Stock,101353006,United States,,3670154,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AIM,AIM ImmunoTech Inc. Common Stock,84936626,United States,,278214,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMC,Altra Industrial Motion Corp. Common Stock,3593932474,United States,2006,382378,Capital Goods,Industrial Machinery/Components
AIN,Albany International Corporation Common Stock,2647954000,United States,,91280,Basic Industries,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,26166260,United States,2014,63345,Consumer Services,Professional Services
AINV,Apollo Investment Corporation Common Stock,899271445,United States,2004,210987,,
AIR,AAR Corp. Common Stock,1484478081,United States,,334405,Capital Goods,Aerospace
AIRG,Airgain Inc. Common Stock,209004316,United States,2016,65460,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,43469764,United States,,179846,Capital Goods,Military/Government/Technical
AIRT,Air T Inc. Common Stock,68444009,United States,,2366,Transportation,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,0,United States,,3549,Transportation,Air Freight/Delivery Services
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021,0,United States,,17444,Transportation,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc. Common Stock,3564005182,United States,,173335,Consumer Durables,Industrial Specialties
AIV,Apartment Investment and Management Company Common Stock,929568824,United States,1994,4873035,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,0,United States,,100,Consumer Services,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,8757707384,United States,2004,371936,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,0,United States,2020,72808,Finance,Property-Casualty Insurers
AJAX,Ajax I Class A Ordinary Shares,929317269,United States,2020,3114225,Finance,Business Services
AJG,Arthur J. Gallagher & Co. Common Stock,24521258512,United States,,510513,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,3785029224,United States,,468570,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,260804148,United States,2015,104284,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,0,United States,2017,11178,Consumer Services,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,16514626919,United States,1999,1514327,Miscellaneous,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,475090036,United States,2014,2313016,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc. Common Stock,50957657,United States,2014,109076,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,282924200,United States,2021,104558,Finance,Business Services
AKICU,Sports Ventures Acquisition Corp. Unit,0,United States,2021,31166,Finance,Business Services
AKICW,Sports Ventures Acquisition Corp. Warrant,0,United States,2021,1500,Finance,Business Services
AKR,Acadia Realty Trust Common Stock,1661325897,United States,,964205,Consumer Services,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,987477060,United States,2019,183464,Health Care,Major Pharmaceuticals
AKTS,Akoustis Technologies Inc. Common Stock,605186340,United States,,694307,Public Utilities,Telecommunications Equipment
AKU,Akumin Inc. Common Shares,254747694,Canada,,63958,Health Care,Medical Specialities
AKUS,Akouos Inc. Common Stock,501643082,United States,2020,534085,Health Care,Major Pharmaceuticals
AL,Air Lease Corporation Class A Common Stock,5705684009,United States,2011,557641,Technology,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,,United States,,8228,,
ALB,Albemarle Corporation Common Stock,16969641506,United States,,1347913,Basic Industries,Major Chemicals
ALBO,Albireo Pharma Inc. Common Stock,646422053,United States,,94065,Health Care,Major Pharmaceuticals
ALCO,Alico Inc. Common Stock,223674305,United States,,26049,Consumer Non-Durables,Farming/Seeds/Milling
ALDX,Aldeyra Therapeutics Inc. Common Stock,537669119,United States,2014,615043,Health Care,Major Pharmaceuticals
ALE,Allete Inc.,3510382296,United States,,277526,Public Utilities,Power Generation
ALEC,Alector Inc. Common Stock,1394319424,United States,2019,645109,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,1233433988,United States,,474330,Consumer Services,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,1846156070,United States,,36408,Capital Goods,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,4720688900,United States,2020,925515,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,41491660651,United States,2001,518329,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,796049168,United States,2020,67725,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,4064262634,United States,2006,126693,Transportation,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,3734239213,United States,2021,1447088,Health Care,Medical Specialities
ALIM,Alimera Sciences Inc. Common Stock,56383653,United States,2010,9384,Health Care,Major Pharmaceuticals
ALJJ,ALJ Regional Holdings Inc. Common Stock,61365520,United States,,195532,Miscellaneous,Business Services
ALK,Alaska Air Group Inc. Common Stock,8688394136,United States,,1601665,Transportation,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,35469506919,United States,,1531713,Finance,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,,United States,,23053,,
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,,United States,,23848,,
